Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Bayesian Ridge,2.0437,6.375,2.5124,-0.0239,0.6495,0.6053,0.138,"(3, 6, 9)"
Elastic Net,2.0447,6.3062,2.4978,-0.0116,0.645,0.6046,0.137,"(3, 6, 9)"
Orthogonal Matching Pursuit,2.0522,6.3984,2.512,-0.0218,0.6468,0.604,0.133,"(3, 6, 9)"
K Neighbors Regressor,2.1749,7.3464,2.6945,-0.1832,0.6786,0.6356,0.139,"(3, 6, 9)"
Decision Tree Regressor,2.3778,10.1775,3.1396,-0.5986,0.7984,0.6418,0.14,"(3, 6, 9)"
Passive Aggressive Regressor,2.6144,10.9444,3.2788,-0.786,0.738,0.8,0.133,"(3, 6, 9)"
Least Angle Regression,176713302.0281,5.14622665294416e+17,227190722.6794,-8.030559050125506e+16,8.1544,65706407.6072,0.143,"(3, 6, 9)"
Extra Trees Regressor,1.7172,4.7389,2.1497,0.2212,0.5508,0.4754,0.197,"(3, 6, 12)"
Random Forest Regressor,1.8092,5.2296,2.2549,0.1401,0.5749,0.5003,0.281,"(3, 6, 12)"
Light Gradient Boosting Machine,1.8135,5.4017,2.2868,0.113,0.5819,0.4887,0.153,"(3, 6, 12)"
Gradient Boosting Regressor,1.8763,5.7556,2.3693,0.0547,0.5928,0.5084,0.21,"(3, 6, 12)"
AdaBoost Regressor,1.9744,5.9065,2.4136,0.0112,0.6128,0.5338,0.175,"(3, 6, 12)"
Ridge Regression,1.989,6.1647,2.4587,-0.0139,0.6238,0.5525,0.137,"(3, 6, 12)"
Linear Regression,2.0149,6.2687,2.4767,-0.0451,0.6203,0.5425,0.137,"(3, 6, 12)"
Huber Regressor,2.046,6.2684,2.4833,-0.0344,0.621,0.5776,0.146,"(3, 6, 12)"
Orthogonal Matching Pursuit,2.0541,6.1845,2.4685,-0.0228,0.6254,0.5902,0.137,"(3, 6, 12)"
Elastic Net,2.1018,6.4024,2.5117,-0.0578,0.637,0.6121,0.137,"(3, 6, 12)"
Lasso Regression,2.1061,6.4263,2.517,-0.0627,0.6388,0.6125,0.134,"(3, 6, 12)"
Lasso Least Angle Regression,2.1061,6.4263,2.517,-0.0627,0.6388,0.6125,0.14,"(3, 6, 12)"
Dummy Regressor,2.1227,6.5697,2.5455,-0.0869,0.6511,0.6096,0.146,"(3, 6, 12)"
Bayesian Ridge,2.1232,6.6099,2.5517,-0.0912,0.6482,0.6059,0.138,"(3, 6, 12)"
K Neighbors Regressor,2.1724,7.289,2.6867,-0.2275,0.6691,0.6128,0.141,"(3, 6, 12)"
Decision Tree Regressor,2.2382,8.8438,2.952,-0.5595,0.7549,0.6336,0.139,"(3, 6, 12)"
Passive Aggressive Regressor,3.2174,16.4633,3.9339,-1.7417,0.8045,0.9256,0.139,"(3, 6, 12)"
Least Angle Regression,3353.8287,101371364.3458,4639.3022,-12453719.1237,3.7141,1023.1006,0.14,"(3, 6, 12)"
Extra Trees Regressor,1.5365,3.7431,1.9191,0.3493,0.5188,0.4992,0.203,"(3, 6, 13)"
Random Forest Regressor,1.6713,4.2744,2.0557,0.2529,0.5501,0.5518,0.293,"(3, 6, 13)"
Light Gradient Boosting Machine,1.6806,4.3763,2.0819,0.2279,0.5422,0.5541,0.158,"(3, 6, 13)"
Gradient Boosting Regressor,1.7393,4.7025,2.1586,0.1663,0.5686,0.5812,0.212,"(3, 6, 13)"
AdaBoost Regressor,1.869,4.9596,2.2187,0.1238,0.5863,0.6022,0.175,"(3, 6, 13)"
Ridge Regression,1.9374,5.8024,2.3796,-0.0036,0.6177,0.6535,0.143,"(3, 6, 13)"
Linear Regression,1.9504,6.1442,2.4468,-0.0602,0.6086,0.627,0.145,"(3, 6, 13)"
Huber Regressor,1.9788,5.9329,2.4126,-0.0375,0.6242,0.6671,0.149,"(3, 6, 13)"
Orthogonal Matching Pursuit,1.9922,5.8718,2.4052,-0.0287,0.6296,0.6888,0.141,"(3, 6, 13)"
Dummy Regressor,1.9995,5.883,2.4141,-0.0283,0.632,0.6861,0.141,"(3, 6, 13)"
Elastic Net,2.0137,5.9463,2.425,-0.043,0.6321,0.6961,0.138,"(3, 6, 13)"
Lasso Regression,2.0187,5.9746,2.4324,-0.0472,0.6344,0.6984,0.144,"(3, 6, 13)"
Lasso Least Angle Regression,2.0187,5.9746,2.4324,-0.0472,0.6344,0.6984,0.142,"(3, 6, 13)"
Bayesian Ridge,2.0465,6.143,2.4638,-0.0755,0.64,0.7057,0.142,"(3, 6, 13)"
K Neighbors Regressor,2.0902,6.4273,2.5203,-0.1243,0.6512,0.7021,0.145,"(3, 6, 13)"
Decision Tree Regressor,2.1012,8.1435,2.8297,-0.5133,0.7134,0.7618,0.141,"(3, 6, 13)"
Passive Aggressive Regressor,3.5466,18.5023,4.2545,-2.2655,1.1356,1.0903,0.141,"(3, 6, 13)"
Least Angle Regression,5381408.6346,1544834995040290.0,12431342.4229,-228829851197035.06,4.87,2014629.9079,0.144,"(3, 6, 13)"
Extra Trees Regressor,1.5199,3.9063,1.95,0.311,0.4983,0.4195,0.195,"(3, 6, 15)"
Random Forest Regressor,1.6632,4.4351,2.088,0.2162,0.5245,0.4805,0.268,"(3, 6, 15)"
Light Gradient Boosting Machine,1.673,4.5529,2.1135,0.1922,0.5224,0.4653,0.157,"(3, 6, 15)"
Gradient Boosting Regressor,1.6963,4.5392,2.11,0.1964,0.5249,0.4857,0.208,"(3, 6, 15)"
AdaBoost Regressor,1.8247,5.1847,2.2566,0.0827,0.5572,0.5152,0.176,"(3, 6, 15)"
Ridge Regression,1.8309,5.3844,2.2932,0.0531,0.5606,0.5249,0.149,"(3, 6, 15)"
Huber Regressor,1.8654,5.5188,2.3356,0.0192,0.5709,0.5364,0.145,"(3, 6, 15)"
Orthogonal Matching Pursuit,1.8891,5.6166,2.3535,0.0091,0.5779,0.5587,0.145,"(3, 6, 15)"
Linear Regression,1.901,5.8575,2.3987,-0.043,0.574,0.5384,0.144,"(3, 6, 15)"
Elastic Net,1.9059,5.7237,2.3762,-0.0102,0.582,0.5638,0.144,"(3, 6, 15)"
Lasso Regression,1.9106,5.7353,2.3794,-0.0129,0.5827,0.5639,0.142,"(3, 6, 15)"
Lasso Least Angle Regression,1.9106,5.7353,2.3794,-0.0129,0.5827,0.5639,0.142,"(3, 6, 15)"
Bayesian Ridge,1.927,5.8608,2.4027,-0.0336,0.584,0.5726,0.143,"(3, 6, 15)"
Dummy Regressor,1.9395,5.7847,2.3921,-0.0239,0.5858,0.5756,0.146,"(3, 6, 15)"
K Neighbors Regressor,2.0594,6.4208,2.5221,-0.1623,0.6008,0.5898,0.145,"(3, 6, 15)"
Decision Tree Regressor,2.2709,9.2175,3.0163,-0.66,0.7656,0.6295,0.145,"(3, 6, 15)"
Passive Aggressive Regressor,2.7348,13.5119,3.396,-1.2694,0.6831,0.7994,0.144,"(3, 6, 15)"
Least Angle Regression,1162326.9871,27991286648508.414,1831136.0082,-4379191529313.901,6.1541,382157.1933,0.145,"(3, 6, 15)"
Extra Trees Regressor,1.5242,3.8222,1.9401,0.321,0.5087,0.4366,0.206,"(3, 6, 16)"
Light Gradient Boosting Machine,1.6141,4.244,2.0501,0.2394,0.5296,0.4505,0.169,"(3, 6, 16)"
Gradient Boosting Regressor,1.6266,4.336,2.0635,0.228,0.5172,0.4641,0.216,"(3, 6, 16)"
Random Forest Regressor,1.6358,4.178,2.0302,0.2584,0.5268,0.4744,0.295,"(3, 6, 16)"
AdaBoost Regressor,1.7931,4.7373,2.1666,0.1546,0.5673,0.5143,0.186,"(3, 6, 16)"
Ridge Regression,1.8095,5.1292,2.2497,0.0894,0.5779,0.5167,0.147,"(3, 6, 16)"
Linear Regression,1.8218,5.3537,2.3031,0.0398,0.581,0.5235,0.144,"(3, 6, 16)"
Orthogonal Matching Pursuit,1.9061,5.3887,2.3127,0.0369,0.5941,0.5667,0.146,"(3, 6, 16)"
Huber Regressor,1.918,5.5584,2.3413,0.0127,0.5923,0.5478,0.152,"(3, 6, 16)"
Dummy Regressor,1.9196,5.8205,2.4055,-0.0418,0.6141,0.5793,0.148,"(3, 6, 16)"
Lasso Least Angle Regression,1.9232,5.5417,2.3465,0.0076,0.6001,0.5817,0.148,"(3, 6, 16)"
Lasso Regression,1.9232,5.5417,2.3465,0.0076,0.6001,0.5817,0.145,"(3, 6, 16)"
Elastic Net,1.9249,5.5207,2.3418,0.011,0.5988,0.581,0.145,"(3, 6, 16)"
Bayesian Ridge,1.9353,5.6158,2.3594,-0.0018,0.6038,0.5738,0.148,"(3, 6, 16)"
K Neighbors Regressor,2.0259,6.3807,2.516,-0.1424,0.6324,0.5854,0.144,"(3, 6, 16)"
Decision Tree Regressor,2.1329,8.1828,2.8089,-0.4666,0.6987,0.5735,0.148,"(3, 6, 16)"
Passive Aggressive Regressor,3.2552,19.3679,3.9849,-2.6143,0.8608,0.8872,0.149,"(3, 6, 16)"
Least Angle Regression,1017847.1213,17359892700174.506,1455186.2847,-3717524693554.154,6.4985,250765.1544,0.151,"(3, 6, 16)"
Extra Trees Regressor,1.6032,4.1995,2.0412,0.2982,0.5353,0.457,0.214,"(3, 6, 17)"
Random Forest Regressor,1.7699,4.8027,2.1845,0.2041,0.5653,0.4997,0.307,"(3, 6, 17)"
Light Gradient Boosting Machine,1.8438,5.4161,2.325,0.0927,0.5889,0.5241,0.166,"(3, 6, 17)"
Gradient Boosting Regressor,1.844,5.232,2.2764,0.132,0.5804,0.5106,0.222,"(3, 6, 17)"
Linear Regression,1.9082,5.6819,2.3718,0.0484,0.5828,0.5337,0.15,"(3, 6, 17)"
AdaBoost Regressor,1.9587,5.6981,2.3792,0.0633,0.6048,0.5507,0.183,"(3, 6, 17)"
Ridge Regression,1.9776,5.8428,2.4104,0.0356,0.611,0.554,0.149,"(3, 6, 17)"
Huber Regressor,1.9881,5.9593,2.4315,0.0228,0.619,0.5662,0.153,"(3, 6, 17)"
Orthogonal Matching Pursuit,2.0337,6.1185,2.4655,-0.0044,0.6284,0.5973,0.148,"(3, 6, 17)"
Bayesian Ridge,2.0445,6.1301,2.4692,-0.0082,0.6307,0.6047,0.148,"(3, 6, 17)"
Elastic Net,2.0492,6.1447,2.4724,-0.0112,0.631,0.607,0.146,"(3, 6, 17)"
Lasso Regression,2.0512,6.1717,2.4777,-0.015,0.6319,0.6098,0.151,"(3, 6, 17)"
Lasso Least Angle Regression,2.0512,6.1717,2.4777,-0.015,0.6319,0.6098,0.15,"(3, 6, 17)"
Dummy Regressor,2.0541,6.2771,2.4978,-0.0304,0.6369,0.6063,0.152,"(3, 6, 17)"
K Neighbors Regressor,2.0929,6.8446,2.6018,-0.1288,0.6561,0.61,0.152,"(3, 6, 17)"
Decision Tree Regressor,2.3437,10.0292,3.1422,-0.6801,0.8016,0.683,0.15,"(3, 6, 17)"
Passive Aggressive Regressor,3.4764,18.0002,4.1032,-2.007,0.989,0.8977,0.15,"(3, 6, 17)"
Least Angle Regression,1109336.5402,11997362021552.344,1415038.4569,-1929074859542.888,9.3979,289866.8237,0.155,"(3, 6, 17)"
Extra Trees Regressor,1.8406,5.3596,2.2883,0.2494,0.5613,0.5427,0.207,"(3, 9, 12)"
Random Forest Regressor,1.9251,5.7777,2.3771,0.2003,0.5853,0.5728,0.274,"(3, 9, 12)"
Light Gradient Boosting Machine,1.9308,5.9138,2.4176,0.1683,0.5969,0.5804,0.171,"(3, 9, 12)"
Gradient Boosting Regressor,1.9409,5.887,2.4068,0.1735,0.5773,0.5815,0.218,"(3, 9, 12)"
AdaBoost Regressor,2.0169,5.8685,2.4142,0.1706,0.6036,0.6175,0.186,"(3, 9, 12)"
Linear Regression,2.0775,6.6307,2.5515,0.065,0.6257,0.6235,0.158,"(3, 9, 12)"
Ridge Regression,2.1365,6.8915,2.6086,0.0264,0.635,0.6392,0.153,"(3, 9, 12)"
Orthogonal Matching Pursuit,2.2311,7.2077,2.6721,-0.0145,0.653,0.6859,0.153,"(3, 9, 12)"
Huber Regressor,2.2509,7.3103,2.685,-0.0266,0.6495,0.6782,0.157,"(3, 9, 12)"
Elastic Net,2.2764,7.3835,2.7038,-0.0324,0.6619,0.7108,0.152,"(3, 9, 12)"
Lasso Regression,2.2802,7.4052,2.7082,-0.0352,0.6634,0.7126,0.152,"(3, 9, 12)"
Lasso Least Angle Regression,2.2802,7.4052,2.7082,-0.0352,0.6634,0.7126,0.158,"(3, 9, 12)"
Bayesian Ridge,2.288,7.5101,2.7284,-0.0509,0.6676,0.7135,0.156,"(3, 9, 12)"
Dummy Regressor,2.2959,7.5147,2.729,-0.0502,0.6692,0.7201,0.154,"(3, 9, 12)"
Decision Tree Regressor,2.4239,10.4985,3.2236,-0.5146,0.796,0.6923,0.152,"(3, 9, 12)"
K Neighbors Regressor,2.437,8.487,2.9052,-0.2114,0.6978,0.7825,0.153,"(3, 9, 12)"
Passive Aggressive Regressor,4.657,40.3258,5.6755,-4.4747,0.9564,1.6373,0.154,"(3, 9, 12)"
Least Angle Regression,424936.3966,1230527644310.989,583431.7232,-171928057662.284,7.3193,143834.2869,0.157,"(3, 9, 12)"
Extra Trees Regressor,1.5321,4.0255,1.9891,0.2478,0.5363,0.4543,0.221,"(3, 9, 13)"
Light Gradient Boosting Machine,1.6055,4.306,2.0627,0.2005,0.5476,0.4874,0.169,"(3, 9, 13)"
Random Forest Regressor,1.6448,4.4241,2.089,0.1744,0.5592,0.4924,0.292,"(3, 9, 13)"
Gradient Boosting Regressor,1.6522,4.6345,2.1322,0.1378,0.5586,0.5016,0.22,"(3, 9, 13)"
Linear Regression,1.803,5.3965,2.3178,-0.0177,0.5907,0.5678,0.152,"(3, 9, 13)"
AdaBoost Regressor,1.8329,5.1774,2.263,0.0367,0.593,0.549,0.181,"(3, 9, 13)"
Ridge Regression,1.853,5.4601,2.3222,-0.0099,0.6006,0.581,0.154,"(3, 9, 13)"
Huber Regressor,1.8963,5.6028,2.3514,-0.0317,0.6055,0.5844,0.16,"(3, 9, 13)"
Decision Tree Regressor,1.8975,7.2078,2.6404,-0.399,0.678,0.5671,0.156,"(3, 9, 13)"
Dummy Regressor,1.9016,5.5895,2.3553,-0.0376,0.6171,0.6031,0.157,"(3, 9, 13)"
Orthogonal Matching Pursuit,1.9026,5.686,2.369,-0.0493,0.6203,0.6028,0.157,"(3, 9, 13)"
Elastic Net,1.908,5.5685,2.3488,-0.0313,0.6153,0.6038,0.16,"(3, 9, 13)"
Lasso Regression,1.9097,5.5835,2.3525,-0.0347,0.6166,0.6052,0.157,"(3, 9, 13)"
Lasso Least Angle Regression,1.9097,5.5835,2.3525,-0.0347,0.6166,0.6052,0.156,"(3, 9, 13)"
Bayesian Ridge,1.9182,5.6844,2.3745,-0.0542,0.6203,0.6049,0.157,"(3, 9, 13)"
K Neighbors Regressor,2.0567,6.3618,2.5167,-0.1967,0.6477,0.6357,0.154,"(3, 9, 13)"
Passive Aggressive Regressor,2.7358,12.0089,3.3977,-1.2036,0.8628,0.9018,0.155,"(3, 9, 13)"
Least Angle Regression,1139376.8666,18188188938003.11,1520246.7894,-4064183641708.0234,6.0453,340832.0259,0.159,"(3, 9, 13)"
Extra Trees Regressor,1.6313,4.4639,2.1,0.3257,0.5512,0.4209,0.212,"(3, 9, 15)"
Light Gradient Boosting Machine,1.6683,4.5673,2.12,0.3133,0.5566,0.446,0.168,"(3, 9, 15)"
Random Forest Regressor,1.7386,4.8066,2.1847,0.2745,0.5663,0.475,0.268,"(3, 9, 15)"
Gradient Boosting Regressor,1.7641,5.0585,2.2352,0.2368,0.5779,0.4812,0.219,"(3, 9, 15)"
Linear Regression,1.8659,5.3969,2.299,0.1925,0.5945,0.4879,0.159,"(3, 9, 15)"
AdaBoost Regressor,1.8863,5.6092,2.359,0.151,0.5919,0.4898,0.194,"(3, 9, 15)"
Ridge Regression,1.9069,5.8103,2.397,0.1269,0.6046,0.5037,0.161,"(3, 9, 15)"
Lasso Least Angle Regression,2.0189,6.3461,2.5093,0.0467,0.6269,0.5502,0.16,"(3, 9, 15)"
Lasso Regression,2.0189,6.3461,2.5093,0.0467,0.6269,0.5502,0.16,"(3, 9, 15)"
Elastic Net,2.0202,6.3507,2.5101,0.046,0.627,0.55,0.165,"(3, 9, 15)"
Orthogonal Matching Pursuit,2.0204,6.4407,2.5287,0.0304,0.6294,0.5462,0.158,"(3, 9, 15)"
Bayesian Ridge,2.0276,6.3961,2.5196,0.0389,0.6284,0.5531,0.158,"(3, 9, 15)"
Huber Regressor,2.0636,6.6049,2.5578,0.0081,0.6308,0.547,0.161,"(3, 9, 15)"
Dummy Regressor,2.0778,6.7484,2.5931,-0.018,0.638,0.5818,0.159,"(3, 9, 15)"
Decision Tree Regressor,2.2845,9.5049,3.0687,-0.4466,0.7576,0.6393,0.168,"(3, 9, 15)"
K Neighbors Regressor,2.34,8.4475,2.8816,-0.2695,0.6932,0.6384,0.161,"(3, 9, 15)"
Passive Aggressive Regressor,2.6299,13.2516,3.322,-1.0224,0.6908,0.7151,0.163,"(3, 9, 15)"
Least Angle Regression,23574.3702,4711912873.4087,29221.5688,-670840414.7241,4.9576,6887.0938,0.166,"(3, 9, 15)"
Extra Trees Regressor,1.4567,3.6107,1.8688,0.345,0.5044,0.4166,0.216,"(3, 9, 16)"
Random Forest Regressor,1.5455,3.8849,1.9449,0.2884,0.5191,0.4461,0.282,"(3, 9, 16)"
Gradient Boosting Regressor,1.5652,3.9734,1.9691,0.2629,0.5142,0.4383,0.235,"(3, 9, 16)"
Light Gradient Boosting Machine,1.5672,4.0287,1.9776,0.2652,0.5244,0.427,0.183,"(3, 9, 16)"
AdaBoost Regressor,1.687,4.3704,2.0667,0.1927,0.5478,0.4905,0.198,"(3, 9, 16)"
Linear Regression,1.6971,4.7589,2.158,0.1051,0.5564,0.5046,0.161,"(3, 9, 16)"
Ridge Regression,1.708,4.7296,2.1607,0.1044,0.5602,0.5129,0.163,"(3, 9, 16)"
Bayesian Ridge,1.8151,5.1865,2.2582,0.0339,0.5863,0.5575,0.161,"(3, 9, 16)"
Huber Regressor,1.8327,5.2154,2.2667,0.0207,0.5853,0.5522,0.163,"(3, 9, 16)"
Orthogonal Matching Pursuit,1.8385,5.2427,2.2726,0.0135,0.5916,0.5751,0.16,"(3, 9, 16)"
Dummy Regressor,1.8657,5.5004,2.3226,-0.0149,0.605,0.5937,0.163,"(3, 9, 16)"
Lasso Regression,1.8855,5.5163,2.3301,-0.0264,0.6052,0.5942,0.162,"(3, 9, 16)"
Lasso Least Angle Regression,1.8855,5.5163,2.3301,-0.0264,0.6052,0.5942,0.165,"(3, 9, 16)"
Elastic Net,1.8925,5.5162,2.331,-0.0283,0.6054,0.5951,0.16,"(3, 9, 16)"
K Neighbors Regressor,2.0511,6.3534,2.5079,-0.2041,0.6325,0.6385,0.164,"(3, 9, 16)"
Decision Tree Regressor,2.132,8.6215,2.9094,-0.6405,0.7252,0.6366,0.159,"(3, 9, 16)"
Passive Aggressive Regressor,2.5956,10.2945,3.1759,-1.0015,0.7707,0.7122,0.163,"(3, 9, 16)"
Least Angle Regression,1042.8146,10577232.4482,1342.156,-3137269.1248,2.9916,265.9619,0.165,"(3, 9, 16)"
Extra Trees Regressor,1.7093,4.68,2.1402,0.3018,0.5587,0.4597,0.226,"(3, 9, 17)"
Light Gradient Boosting Machine,1.7855,5.0472,2.2197,0.2466,0.5705,0.496,0.186,"(3, 9, 17)"
Random Forest Regressor,1.8553,5.2857,2.281,0.2033,0.5914,0.5137,0.29,"(3, 9, 17)"
Gradient Boosting Regressor,1.8896,5.5983,2.346,0.1567,0.5858,0.5389,0.227,"(3, 9, 17)"
Linear Regression,1.9329,6.136,2.4615,0.065,0.6043,0.5368,0.163,"(3, 9, 17)"
AdaBoost Regressor,2.0081,5.9735,2.4272,0.1018,0.622,0.5779,0.193,"(3, 9, 17)"
Ridge Regression,2.0379,6.3698,2.5024,0.0357,0.626,0.5795,0.163,"(3, 9, 17)"
Huber Regressor,2.1333,6.8446,2.5964,-0.0382,0.6478,0.6072,0.168,"(3, 9, 17)"
Dummy Regressor,2.1481,6.8804,2.6115,-0.037,0.6597,0.6291,0.165,"(3, 9, 17)"
Lasso Least Angle Regression,2.1562,6.9266,2.6157,-0.0419,0.6592,0.6287,0.166,"(3, 9, 17)"
Lasso Regression,2.1562,6.9266,2.6157,-0.0419,0.6592,0.6287,0.164,"(3, 9, 17)"
Elastic Net,2.1569,6.9201,2.6131,-0.0409,0.658,0.6282,0.167,"(3, 9, 17)"
Orthogonal Matching Pursuit,2.1696,6.9803,2.6221,-0.0517,0.6594,0.631,0.166,"(3, 9, 17)"
Bayesian Ridge,2.1777,7.1317,2.6523,-0.069,0.6648,0.6362,0.166,"(3, 9, 17)"
Decision Tree Regressor,2.3686,9.8217,3.1166,-0.5401,0.7791,0.6415,0.163,"(3, 9, 17)"
K Neighbors Regressor,2.3717,8.4187,2.8856,-0.2804,0.7058,0.6789,0.161,"(3, 9, 17)"
Passive Aggressive Regressor,4.5443,35.8289,5.6025,-4.2153,0.9474,1.5229,0.16,"(3, 9, 17)"
Least Angle Regression,72106.8268,31232871910.6956,99707.6689,-6382970725.1536,6.1396,22873.7151,0.163,"(3, 9, 17)"
Extra Trees Regressor,1.7658,4.8538,2.185,0.2868,0.5778,0.5425,0.217,"(3, 12, 13)"
Light Gradient Boosting Machine,1.9123,5.6746,2.3576,0.1685,0.6114,0.6011,0.184,"(3, 12, 13)"
Random Forest Regressor,1.9342,5.5871,2.3444,0.1811,0.6165,0.5898,0.289,"(3, 12, 13)"
AdaBoost Regressor,1.9792,5.5785,2.3442,0.1822,0.6236,0.6179,0.202,"(3, 12, 13)"
Gradient Boosting Regressor,2.0072,5.8916,2.4116,0.1288,0.629,0.6208,0.231,"(3, 12, 13)"
Ridge Regression,2.1339,6.5911,2.5562,0.0224,0.6653,0.6723,0.164,"(3, 12, 13)"
Linear Regression,2.1414,7.0255,2.629,-0.0505,0.657,0.6898,0.165,"(3, 12, 13)"
Huber Regressor,2.2115,7.0531,2.6474,-0.0584,0.692,0.7044,0.17,"(3, 12, 13)"
Dummy Regressor,2.2124,6.9377,2.6233,-0.0211,0.6862,0.7142,0.17,"(3, 12, 13)"
Orthogonal Matching Pursuit,2.2253,6.9763,2.6323,-0.0413,0.6908,0.7062,0.166,"(3, 12, 13)"
Lasso Least Angle Regression,2.2377,6.9971,2.6348,-0.0345,0.6876,0.7217,0.178,"(3, 12, 13)"
Lasso Regression,2.2377,6.9971,2.6348,-0.0345,0.6876,0.7217,0.167,"(3, 12, 13)"
Elastic Net,2.2483,7.0405,2.6434,-0.0439,0.6887,0.725,0.177,"(3, 12, 13)"
Bayesian Ridge,2.2691,7.1916,2.672,-0.0641,0.6954,0.7313,0.169,"(3, 12, 13)"
K Neighbors Regressor,2.3277,7.7538,2.7729,-0.1573,0.7143,0.7557,0.17,"(3, 12, 13)"
Decision Tree Regressor,2.4774,11.0516,3.3085,-0.6359,0.8292,0.7134,0.168,"(3, 12, 13)"
Passive Aggressive Regressor,3.3231,17.7031,4.1289,-1.693,0.9063,1.1927,0.166,"(3, 12, 13)"
Least Angle Regression,51812981.3856,6.596375196190392e+16,81457978.9942,-1.1379154723375742e+16,5.4199,13489418.7726,0.178,"(3, 12, 13)"
Extra Trees Regressor,1.8491,5.4335,2.3167,0.2512,0.5998,0.4563,0.225,"(3, 12, 15)"
Gradient Boosting Regressor,1.9587,5.9619,2.427,0.1841,0.6176,0.5052,0.23,"(3, 12, 15)"
Light Gradient Boosting Machine,1.9603,6.118,2.4601,0.1547,0.6201,0.4903,0.181,"(3, 12, 15)"
Random Forest Regressor,1.9845,6.0369,2.442,0.1658,0.6261,0.5117,0.278,"(3, 12, 15)"
AdaBoost Regressor,2.1434,6.9126,2.6176,0.0483,0.6494,0.5567,0.2,"(3, 12, 15)"
Ridge Regression,2.164,7.2932,2.6887,-0.0092,0.6676,0.5727,0.172,"(3, 12, 15)"
Orthogonal Matching Pursuit,2.2164,7.4311,2.7212,-0.0387,0.6805,0.6112,0.171,"(3, 12, 15)"
Elastic Net,2.2171,7.3238,2.6991,-0.017,0.6759,0.6131,0.173,"(3, 12, 15)"
Lasso Least Angle Regression,2.2236,7.3342,2.7007,-0.0171,0.6771,0.6155,0.171,"(3, 12, 15)"
Lasso Regression,2.2236,7.3342,2.7007,-0.0171,0.6771,0.6155,0.173,"(3, 12, 15)"
Bayesian Ridge,2.2253,7.3476,2.7032,-0.018,0.6776,0.6172,0.166,"(3, 12, 15)"
Huber Regressor,2.229,7.537,2.739,-0.0586,0.6788,0.6096,0.168,"(3, 12, 15)"
Linear Regression,2.2638,7.8341,2.7922,-0.099,0.6668,0.6203,0.168,"(3, 12, 15)"
Dummy Regressor,2.293,7.5626,2.7446,-0.0446,0.6866,0.6425,0.169,"(3, 12, 15)"
K Neighbors Regressor,2.3445,8.245,2.8662,-0.154,0.7028,0.6389,0.168,"(3, 12, 15)"
Decision Tree Regressor,2.4536,10.4994,3.1992,-0.4679,0.7977,0.6251,0.171,"(3, 12, 15)"
Passive Aggressive Regressor,2.721,11.8132,3.3569,-0.583,0.7824,0.6283,0.17,"(3, 12, 15)"
Least Angle Regression,156804.601,314197261667.3845,186823.7691,-39810660942.9601,5.1915,43669.4786,0.17,"(3, 12, 15)"
Extra Trees Regressor,1.7343,4.9325,2.208,0.2855,0.5755,0.5002,0.228,"(3, 12, 16)"
Random Forest Regressor,1.8222,5.1902,2.2654,0.2496,0.5864,0.5251,0.285,"(3, 12, 16)"
Light Gradient Boosting Machine,1.8628,5.471,2.3309,0.2033,0.5935,0.5348,0.19,"(3, 12, 16)"
Gradient Boosting Regressor,1.8654,5.2721,2.2838,0.2355,0.5889,0.557,0.241,"(3, 12, 16)"
AdaBoost Regressor,2.0174,5.7333,2.3819,0.1726,0.619,0.6052,0.209,"(3, 12, 16)"
Ridge Regression,2.0763,6.3839,2.5164,0.0717,0.6433,0.623,0.175,"(3, 12, 16)"
Linear Regression,2.0961,6.7629,2.5769,0.0185,0.645,0.6334,0.171,"(3, 12, 16)"
Huber Regressor,2.1305,6.6805,2.5729,0.0291,0.6522,0.6332,0.18,"(3, 12, 16)"
Orthogonal Matching Pursuit,2.1467,6.5345,2.5485,0.0508,0.6559,0.644,0.17,"(3, 12, 16)"
Bayesian Ridge,2.2117,6.7363,2.5888,0.0223,0.6669,0.6848,0.166,"(3, 12, 16)"
Elastic Net,2.2129,6.7311,2.5881,0.0225,0.6662,0.687,0.17,"(3, 12, 16)"
Lasso Regression,2.2189,6.7444,2.5905,0.0211,0.667,0.6899,0.169,"(3, 12, 16)"
Lasso Least Angle Regression,2.2189,6.7443,2.5905,0.0211,0.667,0.6899,0.177,"(3, 12, 16)"
Dummy Regressor,2.2682,7.1181,2.6593,-0.0301,0.6786,0.7119,0.175,"(3, 12, 16)"
K Neighbors Regressor,2.3091,7.5884,2.7393,-0.0939,0.684,0.7165,0.173,"(3, 12, 16)"
Decision Tree Regressor,2.3205,10.5922,3.2246,-0.5446,0.8116,0.7113,0.176,"(3, 12, 16)"
Passive Aggressive Regressor,3.8878,25.7546,4.7624,-3.0073,0.9203,1.1964,0.17,"(3, 12, 16)"
Least Angle Regression,64784.3248,36570892030.9424,88437.7544,-4901892279.5481,7.0896,17241.089,0.173,"(3, 12, 16)"
Extra Trees Regressor,2.0223,6.1626,2.4749,0.1824,0.6304,0.524,0.227,"(3, 12, 17)"
Light Gradient Boosting Machine,2.1784,7.1631,2.6649,0.065,0.6678,0.5977,0.205,"(3, 12, 17)"
Random Forest Regressor,2.2114,7.1893,2.6719,0.0598,0.6747,0.5845,0.307,"(3, 12, 17)"
