Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Gradient Boosting Regressor,1.6626,4.5649,2.1343,0.302,0.6377,0.5441,0.338,"(1, 12, 15)",wrist,3
Linear Regression,1.9032,5.6232,2.3672,0.1418,0.6885,0.6748,0.186,"(1, 12, 15)",wrist,3
Huber Regressor,1.9526,6.0453,2.4556,0.0763,0.693,0.6517,0.199,"(1, 12, 15)",wrist,3
Ridge Regression,1.9612,5.819,2.4091,0.111,0.7013,0.7053,0.189,"(1, 12, 15)",wrist,3
Bayesian Ridge,1.9773,5.8682,2.4196,0.1032,0.7058,0.7164,0.188,"(1, 12, 15)",wrist,3
Decision Tree Regressor,1.9774,8.0677,2.8359,-0.244,0.806,0.7006,0.19,"(1, 12, 15)",wrist,3
AdaBoost Regressor,2.0331,5.8226,2.4122,0.1071,0.743,0.8055,0.236,"(1, 12, 15)",wrist,3
Elastic Net,2.0394,6.1068,2.4697,0.0654,0.7218,0.7442,0.199,"(1, 12, 15)",wrist,3
Lasso Regression,2.0402,6.1098,2.4703,0.0649,0.722,0.7434,0.184,"(1, 12, 15)",wrist,3
Lasso Least Angle Regression,2.0402,6.1098,2.4703,0.0649,0.722,0.7434,0.229,"(1, 12, 15)",wrist,3
Orthogonal Matching Pursuit,2.0917,6.4557,2.5394,0.0123,0.7354,0.7456,0.226,"(1, 12, 15)",wrist,3
K Neighbors Regressor,2.0968,6.9916,2.643,-0.071,0.7402,0.7527,0.185,"(1, 12, 15)",wrist,3
Dummy Regressor,2.1245,6.5721,2.5622,-0.0051,0.7407,0.7838,0.188,"(1, 12, 15)",wrist,3
Least Angle Regression,3.5081,24.1148,4.5067,-2.6328,0.909,1.5125,0.207,"(1, 12, 15)",wrist,3
Passive Aggressive Regressor,3.8864,23.8156,4.6561,-2.6313,1.0764,2.022,0.192,"(1, 12, 15)",wrist,3
Extra Trees Regressor,1.5315,3.9854,1.9935,0.3787,0.6129,0.4989,0.265,"(1, 12, 16)",wrist,3
Random Forest Regressor,1.5927,4.2429,2.0576,0.3377,0.6282,0.5257,0.347,"(1, 12, 16)",wrist,3
Light Gradient Boosting Machine,1.6143,4.4329,2.1018,0.308,0.6302,0.5554,0.23,"(1, 12, 16)",wrist,3
Gradient Boosting Regressor,1.7101,4.695,2.1641,0.2685,0.6553,0.5655,0.276,"(1, 12, 16)",wrist,3
Linear Regression,1.8693,5.4358,2.3282,0.1535,0.7003,0.649,0.204,"(1, 12, 16)",wrist,3
Ridge Regression,1.9243,5.6171,2.3676,0.125,0.7107,0.666,0.24,"(1, 12, 16)",wrist,3
Huber Regressor,1.9256,5.8993,2.4262,0.0811,0.7,0.6221,0.193,"(1, 12, 16)",wrist,3
Bayesian Ridge,1.9341,5.6413,2.3727,0.1212,0.7134,0.6709,0.237,"(1, 12, 16)",wrist,3
Elastic Net,2.0452,6.0752,2.4631,0.053,0.7442,0.706,0.246,"(1, 12, 16)",wrist,3
Lasso Least Angle Regression,2.0455,6.0778,2.4636,0.0526,0.7442,0.7056,0.187,"(1, 12, 16)",wrist,3
Lasso Regression,2.0455,6.0778,2.4636,0.0526,0.7442,0.7056,0.227,"(1, 12, 16)",wrist,3
Orthogonal Matching Pursuit,2.0613,6.2848,2.5052,0.0208,0.7493,0.7036,0.192,"(1, 12, 16)",wrist,3
Decision Tree Regressor,2.0868,8.8319,2.958,-0.374,0.8509,0.7987,0.188,"(1, 12, 16)",wrist,3
AdaBoost Regressor,2.109,6.0216,2.4525,0.0605,0.7843,0.8411,0.248,"(1, 12, 16)",wrist,3
Dummy Regressor,2.115,6.43,2.5346,-0.0027,0.7563,0.7535,0.189,"(1, 12, 16)",wrist,3
K Neighbors Regressor,2.1232,6.9006,2.6256,-0.0775,0.769,0.7345,0.184,"(1, 12, 16)",wrist,3
Passive Aggressive Regressor,2.6075,10.1261,3.1338,-0.5571,0.8861,1.1641,0.243,"(1, 12, 16)",wrist,3
Least Angle Regression,28.3509,11659.963,37.5072,-1885.0737,1.2052,14.7131,0.194,"(1, 12, 16)",wrist,3
Extra Trees Regressor,1.6523,4.5145,2.1219,0.3363,0.6352,0.5416,0.257,"(1, 12, 17)",wrist,3
Random Forest Regressor,1.7046,4.6814,2.1601,0.313,0.6453,0.5586,0.363,"(1, 12, 17)",wrist,3
Light Gradient Boosting Machine,1.7381,4.9812,2.2286,0.269,0.6532,0.6006,0.258,"(1, 12, 17)",wrist,3
Gradient Boosting Regressor,1.8342,5.2091,2.2793,0.2349,0.6776,0.617,0.296,"(1, 12, 17)",wrist,3
Linear Regression,2.0062,5.9896,2.4438,0.1193,0.7208,0.7068,0.186,"(1, 12, 17)",wrist,3
Huber Regressor,2.0612,6.478,2.5424,0.0479,0.7274,0.6641,0.19,"(1, 12, 17)",wrist,3
Ridge Regression,2.0663,6.1688,2.4813,0.0932,0.7327,0.7243,0.185,"(1, 12, 17)",wrist,3
Bayesian Ridge,2.0803,6.2301,2.4936,0.0844,0.7372,0.7301,0.188,"(1, 12, 17)",wrist,3
Elastic Net,2.1645,6.6032,2.5674,0.0298,0.7614,0.7522,0.187,"(1, 12, 17)",wrist,3
Lasso Least Angle Regression,2.1655,6.606,2.5679,0.0295,0.7616,0.7523,0.197,"(1, 12, 17)",wrist,3
Lasso Regression,2.1655,6.606,2.5679,0.0295,0.7616,0.7523,0.181,"(1, 12, 17)",wrist,3
Orthogonal Matching Pursuit,2.1899,6.7517,2.5954,0.0092,0.7664,0.7587,0.194,"(1, 12, 17)",wrist,3
AdaBoost Regressor,2.1941,6.3941,2.5263,0.0591,0.7893,0.8769,0.216,"(1, 12, 17)",wrist,3
Dummy Regressor,2.2144,6.8557,2.6158,-0.0065,0.7706,0.7922,0.196,"(1, 12, 17)",wrist,3
Decision Tree Regressor,2.2358,9.8775,3.1357,-0.4531,0.8893,0.8266,0.188,"(1, 12, 17)",wrist,3
K Neighbors Regressor,2.2409,7.4947,2.7337,-0.1,0.7854,0.7806,0.185,"(1, 12, 17)",wrist,3
Passive Aggressive Regressor,2.9397,14.4731,3.7755,-1.1315,0.995,0.9751,0.185,"(1, 12, 17)",wrist,3
Least Angle Regression,42.393,24634.9358,56.3661,-3203.9637,1.4592,20.9391,0.189,"(1, 12, 17)",wrist,3
Extra Trees Regressor,1.5029,3.8707,1.9648,0.3569,0.6006,0.4881,0.26,"(1, 13, 15)",wrist,3
Random Forest Regressor,1.5218,3.9558,1.9855,0.3435,0.6067,0.499,0.353,"(1, 13, 15)",wrist,3
Light Gradient Boosting Machine,1.5415,4.1886,2.041,0.3034,0.6145,0.5276,0.211,"(1, 13, 15)",wrist,3
Gradient Boosting Regressor,1.5953,4.2814,2.0659,0.2898,0.6258,0.5251,0.277,"(1, 13, 15)",wrist,3
Linear Regression,1.7752,4.9666,2.2238,0.1771,0.6635,0.6233,0.194,"(1, 13, 15)",wrist,3
Bayesian Ridge,1.8154,5.0811,2.2493,0.1586,0.6725,0.6374,0.199,"(1, 13, 15)",wrist,3
Ridge Regression,1.8709,5.3092,2.2999,0.1212,0.6879,0.6641,0.23,"(1, 13, 15)",wrist,3
Huber Regressor,1.8966,5.6393,2.3701,0.0676,0.6874,0.6373,0.188,"(1, 13, 15)",wrist,3
Elastic Net,1.9613,5.606,2.3653,0.0711,0.7123,0.703,0.191,"(1, 13, 15)",wrist,3
Lasso Least Angle Regression,1.962,5.6088,2.3659,0.0706,0.7124,0.7023,0.194,"(1, 13, 15)",wrist,3
Lasso Regression,1.962,5.6088,2.3659,0.0706,0.7124,0.7023,0.187,"(1, 13, 15)",wrist,3
Decision Tree Regressor,1.9627,8.0039,2.8249,-0.3274,0.8171,0.7178,0.185,"(1, 13, 15)",wrist,3
AdaBoost Regressor,1.9757,5.4487,2.333,0.0951,0.7396,0.7895,0.203,"(1, 13, 15)",wrist,3
Orthogonal Matching Pursuit,1.9973,5.8955,2.426,0.0232,0.7236,0.6991,0.186,"(1, 13, 15)",wrist,3
K Neighbors Regressor,2.0176,6.3387,2.5157,-0.0527,0.7333,0.709,0.193,"(1, 13, 15)",wrist,3
Dummy Regressor,2.0547,6.0744,2.4624,-0.0059,0.733,0.7536,0.187,"(1, 13, 15)",wrist,3
Passive Aggressive Regressor,2.7911,14.0033,3.4474,-1.2496,0.8739,1.1748,0.183,"(1, 13, 15)",wrist,3
Least Angle Regression,287.5822,461907.0557,368.5955,-72279.6356,2.46,153.3428,0.186,"(1, 13, 15)",wrist,3
Extra Trees Regressor,1.4127,3.4553,1.8563,0.4005,0.5674,0.483,0.268,"(1, 13, 16)",wrist,3
Random Forest Regressor,1.4658,3.6773,1.9144,0.363,0.5834,0.5014,0.345,"(1, 13, 16)",wrist,3
Light Gradient Boosting Machine,1.4746,3.8274,1.9525,0.3365,0.5838,0.5168,0.224,"(1, 13, 16)",wrist,3
Gradient Boosting Regressor,1.5566,4.001,1.9974,0.307,0.6063,0.5354,0.284,"(1, 13, 16)",wrist,3
Linear Regression,1.7244,4.7318,2.173,0.1784,0.6469,0.625,0.187,"(1, 13, 16)",wrist,3
Ridge Regression,1.7956,4.9762,2.2282,0.1368,0.6661,0.6455,0.193,"(1, 13, 16)",wrist,3
Huber Regressor,1.7973,5.1822,2.2737,0.1018,0.6609,0.6083,0.199,"(1, 13, 16)",wrist,3
Bayesian Ridge,1.8095,5.0192,2.2377,0.1296,0.6704,0.6521,0.192,"(1, 13, 16)",wrist,3
Decision Tree Regressor,1.9039,7.3694,2.7097,-0.2774,0.7917,0.727,0.197,"(1, 13, 16)",wrist,3
AdaBoost Regressor,1.9045,5.1259,2.2625,0.1106,0.7215,0.7611,0.221,"(1, 13, 16)",wrist,3
Elastic Net,1.9217,5.4284,2.3278,0.059,0.7042,0.6881,0.248,"(1, 13, 16)",wrist,3
Lasso Regression,1.9219,5.4312,2.3285,0.0585,0.7042,0.6876,0.188,"(1, 13, 16)",wrist,3
Lasso Least Angle Regression,1.9219,5.4312,2.3285,0.0585,0.7042,0.6876,0.187,"(1, 13, 16)",wrist,3
Orthogonal Matching Pursuit,1.9461,5.6452,2.3743,0.0214,0.711,0.6885,0.187,"(1, 13, 16)",wrist,3
K Neighbors Regressor,1.9482,6.0694,2.4618,-0.0535,0.7179,0.6977,0.185,"(1, 13, 16)",wrist,3
Dummy Regressor,2.0118,5.8174,2.4107,-0.009,0.7203,0.7444,0.183,"(1, 13, 16)",wrist,3
Passive Aggressive Regressor,2.7501,11.796,3.3619,-1.026,0.8927,1.0603,0.222,"(1, 13, 16)",wrist,3
Least Angle Regression,3.886,33.9156,5.061,-4.8648,0.9516,1.7285,0.2,"(1, 13, 16)",wrist,3
Extra Trees Regressor,1.569,4.1542,2.0355,0.3337,0.6104,0.5079,0.254,"(1, 13, 17)",wrist,3
Random Forest Regressor,1.611,4.3174,2.0748,0.3079,0.6225,0.5229,0.345,"(1, 13, 17)",wrist,3
Light Gradient Boosting Machine,1.6218,4.4936,2.1157,0.2804,0.6257,0.5503,0.207,"(1, 13, 17)",wrist,3
Gradient Boosting Regressor,1.694,4.619,2.1455,0.2613,0.6402,0.5642,0.278,"(1, 13, 17)",wrist,3
Linear Regression,1.8745,5.3919,2.3173,0.1367,0.6848,0.649,0.184,"(1, 13, 17)",wrist,3
Ridge Regression,1.9629,5.6572,2.3756,0.0933,0.7046,0.6809,0.199,"(1, 13, 17)",wrist,3
Bayesian Ridge,1.963,5.6976,2.3845,0.0862,0.7073,0.6786,0.192,"(1, 13, 17)",wrist,3
Huber Regressor,1.965,5.9241,2.4304,0.0513,0.6995,0.6481,0.244,"(1, 13, 17)",wrist,3
Decision Tree Regressor,2.0045,7.9542,2.8121,-0.278,0.8244,0.726,0.206,"(1, 13, 17)",wrist,3
Elastic Net,2.0668,6.084,2.463,0.0272,0.7366,0.716,0.242,"(1, 13, 17)",wrist,3
Lasso Regression,2.0671,6.0869,2.4636,0.0267,0.7367,0.7153,0.183,"(1, 13, 17)",wrist,3
Lasso Least Angle Regression,2.0671,6.0869,2.4636,0.0267,0.7367,0.7153,0.223,"(1, 13, 17)",wrist,3
Orthogonal Matching Pursuit,2.0816,6.1789,2.4823,0.0123,0.7399,0.714,0.229,"(1, 13, 17)",wrist,3
AdaBoost Regressor,2.1084,5.9822,2.4443,0.0395,0.7701,0.8324,0.213,"(1, 13, 17)",wrist,3
Dummy Regressor,2.1184,6.3186,2.5101,-0.0098,0.7474,0.7585,0.183,"(1, 13, 17)",wrist,3
K Neighbors Regressor,2.1836,7.1547,2.6706,-0.1471,0.7751,0.7655,0.192,"(1, 13, 17)",wrist,3
Passive Aggressive Regressor,3.0587,14.218,3.7475,-1.3033,1.013,1.4284,0.188,"(1, 13, 17)",wrist,3
Least Angle Regression,31.4677,7017.5282,40.1757,-1342.7234,1.517,15.3825,0.229,"(1, 13, 17)",wrist,3
Extra Trees Regressor,1.5023,3.9193,1.9774,0.3512,0.6022,0.4742,0.242,"(1, 15, 16)",wrist,3
Light Gradient Boosting Machine,1.5315,4.0932,2.021,0.3214,0.6091,0.5063,0.214,"(1, 15, 16)",wrist,3
Random Forest Regressor,1.5399,4.1009,2.0223,0.3211,0.6158,0.4897,0.369,"(1, 15, 16)",wrist,3
Gradient Boosting Regressor,1.6138,4.2818,2.0672,0.2925,0.6291,0.5291,0.276,"(1, 15, 16)",wrist,3
Linear Regression,1.8049,5.0779,2.2518,0.161,0.6717,0.6244,0.187,"(1, 15, 16)",wrist,3
Ridge Regression,1.8406,5.205,2.2801,0.1401,0.6827,0.6334,0.186,"(1, 15, 16)",wrist,3
Huber Regressor,1.8453,5.3416,2.3094,0.1179,0.6747,0.6056,0.197,"(1, 15, 16)",wrist,3
Bayesian Ridge,1.8486,5.2195,2.2831,0.1381,0.6854,0.6378,0.186,"(1, 15, 16)",wrist,3
AdaBoost Regressor,1.9159,5.2672,2.2939,0.1292,0.7274,0.724,0.208,"(1, 15, 16)",wrist,3
Elastic Net,1.9411,5.58,2.3604,0.079,0.7137,0.6704,0.251,"(1, 15, 16)",wrist,3
Lasso Regression,1.9423,5.583,2.361,0.0786,0.7139,0.6701,0.182,"(1, 15, 16)",wrist,3
Lasso Least Angle Regression,1.9423,5.583,2.361,0.0786,0.7139,0.6701,0.188,"(1, 15, 16)",wrist,3
Decision Tree Regressor,1.9587,7.7237,2.774,-0.2798,0.811,0.709,0.196,"(1, 15, 16)",wrist,3
K Neighbors Regressor,1.9912,6.231,2.4932,-0.0278,0.7322,0.6854,0.197,"(1, 15, 16)",wrist,3
Orthogonal Matching Pursuit,2.0029,5.959,2.4391,0.0179,0.7284,0.6781,0.186,"(1, 15, 16)",wrist,3
Dummy Regressor,2.0463,6.1081,2.4694,-0.0066,0.7358,0.7259,0.18,"(1, 15, 16)",wrist,3
Least Angle Regression,2.2048,8.222,2.8305,-0.3764,0.7692,0.8304,0.192,"(1, 15, 16)",wrist,3
Passive Aggressive Regressor,2.5961,10.3054,3.1612,-0.6985,0.8963,1.1591,0.188,"(1, 15, 16)",wrist,3
Extra Trees Regressor,1.5905,4.3258,2.0746,0.3446,0.6309,0.4966,0.271,"(1, 15, 17)",wrist,3
Random Forest Regressor,1.6384,4.4836,2.1126,0.3206,0.6416,0.5146,0.339,"(1, 15, 17)",wrist,3
Light Gradient Boosting Machine,1.6455,4.6307,2.148,0.2956,0.646,0.5364,0.24,"(1, 15, 17)",wrist,3
Gradient Boosting Regressor,1.7433,4.9334,2.2162,0.2531,0.6657,0.5539,0.318,"(1, 15, 17)",wrist,3
Linear Regression,1.9152,5.6172,2.3639,0.1498,0.6973,0.6651,0.186,"(1, 15, 17)",wrist,3
Huber Regressor,1.9581,5.9581,2.4322,0.101,0.7005,0.6535,0.201,"(1, 15, 17)",wrist,3
Ridge Regression,1.9611,5.7519,2.3921,0.1294,0.7093,0.6838,0.187,"(1, 15, 17)",wrist,3
Bayesian Ridge,1.9742,5.7913,2.4003,0.1237,0.7125,0.6914,0.193,"(1, 15, 17)",wrist,3
Elastic Net,2.0519,6.1174,2.4689,0.073,0.7341,0.7215,0.187,"(1, 15, 17)",wrist,3
Lasso Least Angle Regression,2.0535,6.1206,2.4696,0.0725,0.7344,0.7212,0.185,"(1, 15, 17)",wrist,3
Lasso Regression,2.0535,6.1206,2.4696,0.0725,0.7344,0.7212,0.186,"(1, 15, 17)",wrist,3
AdaBoost Regressor,2.058,5.9246,2.4309,0.0983,0.7626,0.7947,0.227,"(1, 15, 17)",wrist,3
Orthogonal Matching Pursuit,2.1195,6.493,2.5442,0.0154,0.7491,0.73,0.194,"(1, 15, 17)",wrist,3
K Neighbors Regressor,2.1206,7.0098,2.6436,-0.0647,0.7596,0.7368,0.181,"(1, 15, 17)",wrist,3
Decision Tree Regressor,2.1263,9.0563,2.9965,-0.386,0.8698,0.7355,0.195,"(1, 15, 17)",wrist,3
Dummy Regressor,2.1683,6.6826,2.5806,-0.0121,0.7582,0.7784,0.189,"(1, 15, 17)",wrist,3
Passive Aggressive Regressor,2.8365,12.9738,3.409,-0.95,0.8429,1.0562,0.196,"(1, 15, 17)",wrist,3
Least Angle Regression,3.2748,25.8305,4.2423,-3.2075,0.8969,1.4161,0.187,"(1, 15, 17)",wrist,3
Extra Trees Regressor,1.5422,4.0175,2.0011,0.36,0.607,0.4982,0.242,"(1, 16, 17)",wrist,3
Random Forest Regressor,1.5943,4.1729,2.0389,0.3362,0.6193,0.5203,0.364,"(1, 16, 17)",wrist,3
Light Gradient Boosting Machine,1.6266,4.403,2.0965,0.2971,0.6291,0.5562,0.212,"(1, 16, 17)",wrist,3
Gradient Boosting Regressor,1.7035,4.5644,2.1338,0.2735,0.6449,0.5706,0.299,"(1, 16, 17)",wrist,3
Linear Regression,1.8939,5.4286,2.3265,0.1388,0.6926,0.6749,0.189,"(1, 16, 17)",wrist,3
Ridge Regression,1.9374,5.5593,2.3547,0.1159,0.7049,0.6788,0.188,"(1, 16, 17)",wrist,3
Huber Regressor,1.9449,5.759,2.3961,0.0843,0.7016,0.6444,0.219,"(1, 16, 17)",wrist,3
Bayesian Ridge,1.9473,5.5808,2.359,0.1127,0.7082,0.6801,0.197,"(1, 16, 17)",wrist,3
Decision Tree Regressor,1.9532,7.5507,2.7435,-0.2172,0.7992,0.7305,0.235,"(1, 16, 17)",wrist,3
AdaBoost Regressor,2.0353,5.6899,2.3829,0.0952,0.748,0.7754,0.235,"(1, 16, 17)",wrist,3
Elastic Net,2.049,6.0058,2.4461,0.0497,0.7368,0.7052,0.196,"(1, 16, 17)",wrist,3
Lasso Regression,2.0506,6.0091,2.4467,0.0493,0.737,0.7055,0.191,"(1, 16, 17)",wrist,3
Lasso Least Angle Regression,2.0506,6.0091,2.4467,0.0493,0.737,0.7055,0.191,"(1, 16, 17)",wrist,3
Orthogonal Matching Pursuit,2.0952,6.2608,2.4962,0.0117,0.7459,0.7185,0.182,"(1, 16, 17)",wrist,3
K Neighbors Regressor,2.1193,6.8165,2.6045,-0.0772,0.7589,0.7346,0.239,"(1, 16, 17)",wrist,3
Dummy Regressor,2.1275,6.3849,2.5212,-0.0081,0.7514,0.7547,0.24,"(1, 16, 17)",wrist,3
Passive Aggressive Regressor,3.1182,16.5995,3.887,-1.7585,0.9383,1.2525,0.187,"(1, 16, 17)",wrist,3
Least Angle Regression,3.1743,17.824,4.0895,-1.7934,0.906,1.3323,0.189,"(1, 16, 17)",wrist,3
Extra Trees Regressor,1.4361,3.6682,1.9107,0.3375,0.6026,0.4882,0.258,"(2, 3, 4)",wrist,3
Light Gradient Boosting Machine,1.4894,3.9793,1.9895,0.2812,0.6173,0.531,0.209,"(2, 3, 4)",wrist,3
Random Forest Regressor,1.5001,3.9093,1.9727,0.2925,0.6163,0.5165,0.369,"(2, 3, 4)",wrist,3
Gradient Boosting Regressor,1.6041,4.2699,2.0626,0.2268,0.6427,0.5631,0.278,"(2, 3, 4)",wrist,3
Linear Regression,1.749,4.8895,2.2072,0.1162,0.6792,0.6505,0.186,"(2, 3, 4)",wrist,3
Bayesian Ridge,1.7754,4.975,2.2273,0.0999,0.6879,0.6474,0.254,"(2, 3, 4)",wrist,3
Ridge Regression,1.8082,5.0795,2.2504,0.0812,0.6985,0.6557,0.199,"(2, 3, 4)",wrist,3
Huber Regressor,1.821,5.4458,2.3276,0.0181,0.6948,0.6016,0.187,"(2, 3, 4)",wrist,3
Decision Tree Regressor,1.9279,7.6565,2.7612,-0.3872,0.8324,0.7639,0.197,"(2, 3, 4)",wrist,3
Elastic Net,1.9337,5.483,2.3375,0.01,0.7299,0.7132,0.187,"(2, 3, 4)",wrist,3
Lasso Least Angle Regression,1.9337,5.486,2.3381,0.0095,0.7298,0.7128,0.184,"(2, 3, 4)",wrist,3
Lasso Regression,1.9337,5.486,2.3381,0.0095,0.7298,0.7128,0.186,"(2, 3, 4)",wrist,3
Orthogonal Matching Pursuit,1.9443,5.6119,2.3647,-0.013,0.7328,0.7142,0.234,"(2, 3, 4)",wrist,3
Dummy Regressor,1.9607,5.6296,2.3682,-0.0156,0.7341,0.7276,0.193,"(2, 3, 4)",wrist,3
K Neighbors Regressor,1.9861,6.1621,2.4788,-0.1141,0.7595,0.7375,0.197,"(2, 3, 4)",wrist,3
AdaBoost Regressor,2.0043,5.521,2.3467,-0.0035,0.7744,0.856,0.209,"(2, 3, 4)",wrist,3
Passive Aggressive Regressor,2.3568,9.3134,2.9993,-0.6945,0.8712,0.9007,0.186,"(2, 3, 4)",wrist,3
Least Angle Regression,4.8501,57.5578,6.3544,-8.7178,1.0563,2.3502,0.193,"(2, 3, 4)",wrist,3
Extra Trees Regressor,1.491,3.8102,1.9495,0.311,0.6163,0.5088,0.271,"(2, 3, 5)",wrist,3
Light Gradient Boosting Machine,1.5257,4.1392,2.0311,0.2532,0.6289,0.5183,0.214,"(2, 3, 5)",wrist,3
Random Forest Regressor,1.5389,4.0108,1.9998,0.276,0.6294,0.5233,0.338,"(2, 3, 5)",wrist,3
Gradient Boosting Regressor,1.6342,4.3361,2.0797,0.2184,0.6516,0.5661,0.316,"(2, 3, 5)",wrist,3
Linear Regression,1.7815,4.9898,2.2301,0.1031,0.6881,0.6451,0.193,"(2, 3, 5)",wrist,3
Ridge Regression,1.8254,5.1381,2.2634,0.0759,0.6991,0.6622,0.239,"(2, 3, 5)",wrist,3
Bayesian Ridge,1.834,5.1759,2.2717,0.0691,0.7015,0.6656,0.184,"(2, 3, 5)",wrist,3
Huber Regressor,1.8378,5.5002,2.3412,0.0111,0.6965,0.6003,0.191,"(2, 3, 5)",wrist,3
Lasso Least Angle Regression,1.9237,5.4713,2.336,0.0155,0.7192,0.7102,0.188,"(2, 3, 5)",wrist,3
Lasso Regression,1.9237,5.4713,2.336,0.0155,0.7192,0.7102,0.197,"(2, 3, 5)",wrist,3
Orthogonal Matching Pursuit,1.9242,5.5579,2.3541,0.0007,0.721,0.7043,0.193,"(2, 3, 5)",wrist,3
Elastic Net,1.9243,5.4686,2.3355,0.0158,0.7193,0.7112,0.186,"(2, 3, 5)",wrist,3
Dummy Regressor,1.9515,5.6011,2.3639,-0.0081,0.7253,0.7211,0.186,"(2, 3, 5)",wrist,3
K Neighbors Regressor,1.9655,6.0391,2.4554,-0.0921,0.7379,0.7393,0.189,"(2, 3, 5)",wrist,3
AdaBoost Regressor,1.9895,5.4339,2.3292,0.019,0.7609,0.8384,0.215,"(2, 3, 5)",wrist,3
Decision Tree Regressor,2.0195,8.0565,2.8354,-0.463,0.8494,0.7584,0.185,"(2, 3, 5)",wrist,3
Least Angle Regression,2.0387,7.0119,2.6051,-0.2641,0.7508,0.7954,0.195,"(2, 3, 5)",wrist,3
Passive Aggressive Regressor,2.26,9.078,2.991,-0.6289,0.8671,0.698,0.186,"(2, 3, 5)",wrist,3
Extra Trees Regressor,1.357,3.3085,1.8151,0.3166,0.5904,0.4894,0.247,"(2, 3, 6)",wrist,3
Random Forest Regressor,1.3971,3.4577,1.8544,0.2858,0.6005,0.5112,0.348,"(2, 3, 6)",wrist,3
Light Gradient Boosting Machine,1.414,3.6683,1.9088,0.2405,0.6068,0.5325,0.208,"(2, 3, 6)",wrist,3
Gradient Boosting Regressor,1.514,3.8937,1.969,0.1947,0.6323,0.5468,0.281,"(2, 3, 6)",wrist,3
Linear Regression,1.6011,4.1511,2.0332,0.1439,0.6512,0.6109,0.184,"(2, 3, 6)",wrist,3
Bayesian Ridge,1.6239,4.2174,2.0493,0.1301,0.6582,0.6105,0.24,"(2, 3, 6)",wrist,3
Ridge Regression,1.6635,4.3417,2.0795,0.1046,0.6699,0.6202,0.184,"(2, 3, 6)",wrist,3
Huber Regressor,1.6715,4.781,2.1813,0.0145,0.6672,0.5628,0.191,"(2, 3, 6)",wrist,3
Decision Tree Regressor,1.6882,6.3106,2.4962,-0.3012,0.7747,0.6883,0.19,"(2, 3, 6)",wrist,3
Orthogonal Matching Pursuit,1.8023,4.819,2.1918,0.0052,0.708,0.6776,0.188,"(2, 3, 6)",wrist,3
Lasso Regression,1.8046,4.8108,2.19,0.0067,0.7077,0.6812,0.196,"(2, 3, 6)",wrist,3
Lasso Least Angle Regression,1.8046,4.8108,2.19,0.0067,0.7077,0.6812,0.194,"(2, 3, 6)",wrist,3
Elastic Net,1.805,4.8074,2.1892,0.0074,0.7076,0.6824,0.19,"(2, 3, 6)",wrist,3
Dummy Regressor,1.8282,4.8619,2.2021,-0.0046,0.7112,0.699,0.198,"(2, 3, 6)",wrist,3
AdaBoost Regressor,1.8456,4.7749,2.1831,0.0104,0.7448,0.7892,0.213,"(2, 3, 6)",wrist,3
K Neighbors Regressor,1.8582,5.4982,2.3407,-0.1385,0.743,0.7124,0.201,"(2, 3, 6)",wrist,3
Passive Aggressive Regressor,2.1786,7.9061,2.7628,-0.6121,0.8358,0.8978,0.191,"(2, 3, 6)",wrist,3
Least Angle Regression,6.7731,319.801,9.133,-64.5951,1.0359,3.4295,0.189,"(2, 3, 6)",wrist,3
Extra Trees Regressor,1.4676,3.7002,1.9226,0.3226,0.6097,0.5145,0.247,"(2, 3, 8)",wrist,3
Light Gradient Boosting Machine,1.4908,3.9983,1.9982,0.2638,0.622,0.5474,0.221,"(2, 3, 8)",wrist,3
Random Forest Regressor,1.5208,3.9403,1.9838,0.2789,0.6267,0.5302,0.36,"(2, 3, 8)",wrist,3
Gradient Boosting Regressor,1.5922,4.1565,2.0379,0.2386,0.6422,0.5646,0.28,"(2, 3, 8)",wrist,3
Linear Regression,1.728,4.7641,2.1811,0.1288,0.6796,0.6231,0.239,"(2, 3, 8)",wrist,3
Bayesian Ridge,1.7493,4.8188,2.1932,0.1204,0.6842,0.623,0.185,"(2, 3, 8)",wrist,3
Ridge Regression,1.7822,4.9103,2.2139,0.1039,0.6939,0.6339,0.188,"(2, 3, 8)",wrist,3
Huber Regressor,1.7966,5.283,2.2946,0.0378,0.6915,0.5863,0.194,"(2, 3, 8)",wrist,3
AdaBoost Regressor,1.9108,5.0943,2.2553,0.0676,0.7535,0.7657,0.208,"(2, 3, 8)",wrist,3
Elastic Net,1.9127,5.356,2.3121,0.0229,0.7302,0.685,0.188,"(2, 3, 8)",wrist,3
Lasso Regression,1.9138,5.3595,2.3128,0.0224,0.7303,0.6857,0.188,"(2, 3, 8)",wrist,3
Lasso Least Angle Regression,1.9138,5.3595,2.3128,0.0224,0.7303,0.6857,0.195,"(2, 3, 8)",wrist,3
Orthogonal Matching Pursuit,1.9391,5.527,2.3483,-0.0068,0.7363,0.6998,0.194,"(2, 3, 8)",wrist,3
Dummy Regressor,1.9518,5.539,2.3507,-0.0088,0.7373,0.7088,0.197,"(2, 3, 8)",wrist,3
K Neighbors Regressor,1.9579,6.0674,2.4592,-0.1059,0.7577,0.7197,0.235,"(2, 3, 8)",wrist,3
